===== TRADE LOG DETAIL =====

Action  Symbol   Date              Price     Quantity        Value (VND)          PnL (VND)      PnL%%
----------------------------------------------------------------------
BUY     ACB      2023-02-15        14.39         6949         99,996,109                  0      0.00%
SELL    ACB      2023-04-06        14.60         6949        101,455,406          1,459,290      1.46%
BUY     ACB      2023-04-26        14.16         7165        101,456,398                  0      0.00%
SELL    ACB      2023-05-16        14.66         7165        105,038,898          3,582,500      3.53%
BUY     ACB      2023-06-23        15.37         6834        105,038,578                  0      0.00%
SELL    ACB      2023-06-29        15.37         6834        105,038,578                  0      0.00%
BUY     ACB      2023-07-10        15.40         6820        105,028,000                  0      0.00%
SELL    ACB      2023-07-27        15.55         6820        106,051,000          1,023,003      0.97%
BUY     ACB      2023-08-24        15.48         6851        106,053,476                  0      0.00%
SELL    ACB      2023-09-08        15.97         6851        109,410,468          3,356,994      3.17%
BUY     ACB      2023-09-29        15.33         7137        109,410,210                  0      0.00%
SELL    ACB      2023-10-16        15.86         7137        113,192,820          3,782,608      3.46%
BUY     ACB      2023-10-25        15.37         7365        113,200,046                  0      0.00%
SELL    ACB      2023-11-10        15.72         7365        115,777,804          2,577,753      2.28%
BUY     ACB      2023-11-29        15.48         7479        115,774,914                  0      0.00%
SELL    ACB      2023-12-13        15.65         7479        117,046,343          1,271,430      1.10%
BUY     ACB      2024-01-26        18.46         6340        117,036,390                  0      0.00%
SELL    ACB      2024-02-15        19.09         6340        121,030,601          3,994,206      3.41%
BUY     ACB      2024-02-28        19.65         6160        121,044,000                  0      0.00%
SELL    ACB      2024-04-02        19.93         6160        122,768,804          1,724,804      1.42%
BUY     ACB      2024-04-11        19.05         6444        122,758,195                  0      0.00%
SELL    ACB      2024-05-13        19.44         6444        125,271,367          2,513,168      2.05%
BUY     ACB      2024-06-12        20.51         6108        125,275,078                  0      0.00%
SELL    ACB      2024-07-22        20.68         6108        126,313,445          1,038,360      0.83%
BUY     ACB      2024-07-31        20.51         6159        126,321,093                  0      0.00%
SELL    ACB      2024-08-26        20.43         6159        125,828,375           -492,719     -0.39%
BUY     ACB      2024-09-12        20.43         6159        125,828,375                  0      0.00%
SELL    ACB      2024-09-26        21.72         6159        133,773,468          7,945,104      6.31%
BUY     ACB      2024-10-09        21.93         6100        133,773,000                  0      0.00%
SELL    ACB      2024-12-02        21.01         6100        128,161,000         -5,612,000     -4.20%
BUY     ACB      2024-12-24        20.89         6135        128,160,148                  0      0.00%
SELL    ACB      2024-12-30        21.22         6135        130,184,695          2,024,549      1.58%
BUY     ACB      2025-01-15        20.80         6259        130,187,195                  0      0.00%
SELL    ACB      2025-02-03        20.97         6259        131,251,218          1,064,030      0.82%
BUY     ACB      2025-03-18        21.97         5974        131,248,781                  0      0.00%
SELL    ACB      2025-04-24        20.18         5974        120,555,320        -10,693,454     -8.15%
BUY     ACB      2025-06-12        21.05         5727        120,553,343                  0      0.00%
SELL    ACB      2025-06-24        21.30         5727        121,985,093          1,431,750      1.19%
BUY     ACB      2025-06-30        21.30         5727        121,985,093                  0      0.00%
SELL    ACB      2025-07-14        22.70         5727        130,002,906          8,017,808      6.57%
BUY     ACB      2025-08-04        23.30         5579        129,990,695                  0      0.00%
SELL    ACB      2025-08-12        24.25         5579        135,290,750          5,300,054      4.08%
BUY     ACB      2025-09-15        26.40         5125        135,300,000                  0      0.00%
SELL    ACB      2025-10-13        26.75         5125        137,093,750          1,793,752      1.33%
BUY     ACB      2025-10-24        25.00         5484        137,100,000                  0      0.00%
SELL    ACB      2025-11-06        25.30         5484        138,745,203          1,645,195      1.20%
BUY     ACB      2025-11-12        25.20         5505        138,726,000                  0      0.00%
SELL    ACB      2025-11-19        24.90         5505        137,074,500         -1,651,506     -1.19%
BUY     ACB      2025-11-27        24.35         5630        137,090,500                  0      0.00%
SELL    ACB      2025-12-08        24.20         5630        136,246,000           -844,497     -0.62%
BUY     ACB      2025-12-16        24.00         5677        136,248,000                  0      0.00%
SELL    ACB      2025-12-25        24.00         5677        136,248,000                  0      0.00%
BUY     BID      2023-02-08        32.27         3098         99,972,460                  0      0.00%
SELL    BID      2023-02-22        32.64         3098        101,118,718          1,146,256      1.15%
BUY     BID      2023-03-01        33.11         3054        101,117,945                  0      0.00%
SELL    BID      2023-03-10        34.20         3054        104,446,804          3,328,860      3.29%
BUY     BID      2023-03-15        33.94         3078        104,467,312                  0      0.00%
SELL    BID      2023-05-15        32.57         3078        100,250,460         -4,216,857     -4.04%
BUY     BID      2023-05-29        31.84         3148        100,232,320                  0      0.00%
SELL    BID      2023-06-07        32.17         3148        101,271,156          1,038,833      1.04%
BUY     BID      2023-06-22        31.88         3177        101,282,757                  0      0.00%
SELL    BID      2023-06-29        32.27         3177        102,521,789          1,239,034      1.22%
BUY     BID      2023-08-14        34.52         2970        102,524,398                  0      0.00%
SELL    BID      2023-09-08        34.09         2970        101,247,296         -1,277,101     -1.25%
BUY     BID      2023-09-22        33.40         3031        101,235,406                  0      0.00%
SELL    BID      2023-10-31        29.16         3031         88,383,960        -12,851,445    -12.69%
BUY     BID      2024-02-05        39.76         2223         88,386,476                  0      0.00%
SELL    BID      2024-02-29        43.32         2223         96,300,359          7,913,883      8.95%
BUY     BID      2024-03-13        42.99         2240         96,297,601                  0      0.00%
SELL    BID      2024-05-09        40.46         2240         90,630,398         -5,667,206     -5.89%
BUY     BID      2024-05-15        39.72         2282         90,641,039                  0      0.00%
SELL    BID      2024-05-23        40.46         2282         92,329,718          1,688,675      1.86%
BUY     BID      2024-06-04        38.90         2373         92,309,703                  0      0.00%
SELL    BID      2024-06-14        38.82         2373         92,119,859           -189,844     -0.21%
BUY     BID      2024-06-26        36.37         2533         92,125,210                  0      0.00%
SELL    BID      2024-07-10        38.33         2533         97,089,898          4,964,687      5.39%
