symbol,time,open,high,low,close,volume
ANV,2021-08-16,13.86,14.08,13.64,13.82,1212000
ANV,2021-08-17,13.64,14.1,13.47,13.86,1405100
ANV,2021-08-18,13.69,14.53,13.69,14.16,1434600
ANV,2021-08-19,14.16,14.38,13.95,14.18,547000
ANV,2021-08-20,14.08,14.27,13.21,13.3,1779900
ANV,2021-08-23,12.86,13.12,12.39,12.39,1414300
ANV,2021-08-24,12.39,12.52,11.91,12.45,854200
ANV,2021-08-25,12.34,12.56,12.13,12.39,553600
ANV,2021-08-26,12.56,12.95,12.28,12.95,1031500
ANV,2021-08-27,12.95,13.43,12.56,13.43,940600
ANV,2021-08-30,13.69,14.25,13.43,13.77,1258900
ANV,2021-08-31,13.34,13.9,13.34,13.6,1250200
ANV,2021-09-01,13.43,14.08,13.28,13.9,1397900
ANV,2021-09-06,14.25,14.77,14.08,14.73,2015400
ANV,2021-09-07,14.64,14.64,13.71,13.9,1248300
ANV,2021-09-08,13.64,13.9,13.43,13.86,804600
ANV,2021-09-09,13.64,14.16,13.56,14.08,613700
ANV,2021-09-10,13.9,14.42,13.9,14.08,742000
ANV,2021-09-13,14.08,14.12,13.12,13.12,1077900
ANV,2021-09-14,13.12,13.43,12.56,12.73,1252700
ANV,2021-09-15,12.73,13.58,12.58,13.34,775100
ANV,2021-09-16,13.56,13.56,12.99,13.17,437400
ANV,2021-09-17,13.17,13.43,13.04,13.25,470300
ANV,2021-09-20,13.38,13.38,12.82,12.82,935400
ANV,2021-09-21,12.34,12.99,12.34,12.99,657400
ANV,2021-09-22,12.69,13.41,12.69,13.21,301100
ANV,2021-09-23,13.21,13.21,12.91,12.95,355700
ANV,2021-09-24,12.82,12.95,12.58,12.67,436700
ANV,2021-09-27,12.67,12.69,12.13,12.13,582300
ANV,2021-09-28,12.04,12.43,11.91,12.39,530500
ANV,2021-09-29,12.39,12.47,12.13,12.34,326800
ANV,2021-09-30,12.47,12.47,12.34,12.41,227900
ANV,2021-10-01,12.43,12.67,12.39,12.56,481000
ANV,2021-10-04,12.69,13.43,12.69,13.43,1287200
ANV,2021-10-05,13.62,13.62,13.23,13.28,491800
ANV,2021-10-06,13.34,13.34,13.12,13.28,460900
ANV,2021-10-07,13.34,13.9,13.21,13.77,1315700
ANV,2021-10-08,13.77,14.29,13.62,13.73,1010900
ANV,2021-10-11,13.73,13.77,13.38,13.38,585600
ANV,2021-10-12,13.28,13.6,13.12,13.38,906400
ANV,2021-10-13,13.64,13.64,13.43,13.51,402000
ANV,2021-10-14,13.51,13.62,13.47,13.51,501700
ANV,2021-10-15,13.64,14.21,13.56,14.06,1695900
ANV,2021-10-18,14.21,14.29,13.86,13.86,831400
ANV,2021-10-19,14.06,14.06,13.86,13.99,468200
ANV,2021-10-20,13.9,14.51,13.86,14.25,1279300
ANV,2021-10-21,14.16,14.68,13.82,13.99,1153800
ANV,2021-10-22,13.95,13.95,13.51,13.67,671400
ANV,2021-10-25,13.67,14.01,13.45,13.86,816800
ANV,2021-10-26,13.77,14.81,13.64,14.81,1992200
ANV,2021-10-27,15.33,15.33,14.94,15.12,1213500
ANV,2021-10-28,15.12,15.33,14.83,15.16,827100
ANV,2021-10-29,15.16,15.81,14.86,15.51,1277500
ANV,2021-11-01,15.51,15.98,15.25,15.38,1036300
ANV,2021-11-02,15.38,15.59,15.12,15.59,1160100
ANV,2021-11-03,15.64,15.77,14.81,14.81,1179000
ANV,2021-11-04,14.81,15.83,14.51,15.83,1581200
ANV,2021-11-05,16.24,16.68,16.03,16.46,1644100
ANV,2021-11-08,16.68,16.68,16.03,16.55,970900
ANV,2021-11-09,16.46,16.46,16.07,16.2,869200
ANV,2021-11-10,15.85,16.55,15.85,16.33,938300
ANV,2021-11-11,16.42,17.15,16.03,17.07,1187300
ANV,2021-11-12,17.04,17.04,16.42,16.89,775800
ANV,2021-11-15,16.89,16.94,15.94,16.07,1315700
ANV,2021-11-16,15.81,16.33,15.59,16.07,1145900
